raceId,driverId,lap,position,time,milliseconds
841,814,29,10,1:33.166,93166
841,814,30,10,1:32.665,92665
841,814,31,10,1:32.890,92890
841,814,32,9,1:32.872,92872
841,814,33,9,1:33.198,93198
841,814,34,9,1:32.756,92756
841,814,35,9,1:33.054,93054
841,814,36,12,1:55.102,115102
841,814,37,12,1:40.552,100552
841,814,38,12,1:33.694,93694
841,814,39,12,1:32.422,92422
841,814,40,12,1:31.941,91941
841,814,41,12,1:32.168,92168
841,814,42,12,1:32.177,92177
841,814,43,12,1:33.833,93833
841,814,44,12,1:32.125,92125
841,814,45,12,1:32.389,92389
841,814,46,12,1:32.486,92486
841,814,47,12,1:32.805,92805
841,814,48,12,1:32.636,92636
841,814,49,12,1:32.953,92953
841,814,50,12,1:32.593,92593
841,814,51,12,1:32.979,92979
841,814,52,12,1:33.059,93059
841,814,53,12,1:34.403,94403
841,814,54,12,1:34.500,94500
841,814,55,12,1:34.419,94419
841,814,56,12,1:36.305,96305
841,814,57,12,1:36.350,96350
841,67,1,11,1:51.121,111121
841,67,2,11,1:35.399,95399
841,67,3,11,1:34.800,94800
841,67,4,11,1:34.806,94806
841,67,5,11,1:35.432,95432
841,67,6,11,1:35.178,95178
841,67,7,10,1:36.232,96232
841,67,8,10,1:35.153,95153
841,67,9,10,1:34.610,94610
841,67,10,10,1:34.490,94490
841,67,11,10,1:34.479,94479
841,67,12,9,1:36.212,96212
841,67,13,8,1:34.943,94943
841,67,14,8,1:34.376,94376
841,67,15,13,1:56.915,116915
841,67,16,15,1:40.111,100111
841,67,17,12,1:34.923,94923
841,67,18,12,1:32.831,92831
841,67,19,12,1:33.351,93351
841,67,20,11,1:33.400,93400
841,67,21,11,1:33.098,93098
841,67,22,11,1:32.987,92987
841,67,23,9,1:35.281,95281
841,67,24,9,1:33.050,93050
841,67,25,9,1:32.355,92355
841,67,26,9,1:32.169,92169
841,67,27,9,1:32.574,92574
841,67,28,9,1:32.275,92275
841,67,29,13,1:51.416,111416
841,67,30,12,1:41.470,101470
841,67,31,12,1:32.733,92733
841,67,32,12,1:31.907,91907
841,67,33,12,1:31.936,91936
841,67,34,12,1:31.958,91958
841,67,35,12,1:32.441,92441
841,67,36,11,1:31.143,91143
841,67,37,10,1:30.979,90979
841,67,38,10,1:31.339,91339
841,67,39,10,1:31.160,91160
841,67,40,10,1:31.216,91216
841,67,41,10,1:31.406,91406
841,67,42,10,1:31.667,91667
841,67,43,10,1:31.178,91178
841,67,44,10,1:30.836,90836
841,67,45,10,1:31.020,91020
841,67,46,10,1:30.987,90987
841,67,47,10,1:31.151,91151
841,67,48,9,1:31.348,91348
841,67,49,9,1:32.579,92579
841,67,50,9,1:32.093,92093
841,67,51,9,1:31.957,91957
841,67,52,9,1:32.448,92448
841,67,53,9,1:32.899,92899
841,67,54,10,1:35.640,95640
841,67,55,10,1:32.694,92694
841,67,56,10,1:33.047,93047
841,67,57,10,1:33.506,93506
841,16,1,12,1:51.520,111520
841,16,2,12,1:35.827,95827
841,16,3,12,1:34.667,94667
841,16,4,12,1:34.602,94602
841,16,5,12,1:35.574,95574
841,16,6,12,1:35.221,95221
841,16,7,12,1:36.572,96572
841,16,8,12,1:35.803,95803
841,16,9,12,1:34.969,94969
841,16,10,11,1:34.161,94161
841,16,11,11,1:34.061,94061
841,16,12,10,1:35.471,95471
841,16,13,9,1:35.000,95000
841,16,14,9,1:34.395,94395
841,16,15,8,1:34.953,94953
841,16,16,12,1:55.254,115254
841,16,17,14,1:43.196,103196
841,16,18,14,1:33.265,93265
841,16,19,14,1:33.279,93279
841,16,20,14,1:34.750,94750
841,16,21,14,1:33.809,93809
841,16,22,14,1:33.366,93366
841,16,23,11,1:34.057,94057
841,16,24,11,1:33.843,93843
841,16,25,10,1:33.060,93060
841,16,26,10,1:32.712,92712
841,16,27,10,1:33.023,93023
841,16,28,10,1:32.923,92923
841,16,29,9,1:32.590,92590
841,16,30,9,1:32.726,92726
841,16,31,9,1:32.778,92778
841,16,32,8,1:32.934,92934
841,16,33,8,1:32.996,92996
841,16,34,8,1:32.803,92803
841,16,35,8,1:32.884,92884
841,16,36,8,1:32.633,92633
841,16,37,11,1:51.970,111970
841,16,38,11,1:40.470,100470
841,16,39,11,1:32.017,92017
841,16,40,11,1:31.960,91960
841,16,41,11,1:34.253,94253
841,16,42,11,1:31.924,91924
841,16,43,11,1:31.971,91971
841,16,44,11,1:31.679,91679
841,16,45,11,1:32.008,92008
841,16,46,11,1:32.246,92246
841,16,47,11,1:33.932,93932
841,16,48,11,1:31.931,91931
841,16,49,11,1:31.948,91948
841,16,50,11,1:31.937,91937
841,16,51,11,1:32.065,92065
841,16,52,11,1:31.681,91681
841,16,53,11,1:31.774,91774
841,16,54,11,1:31.773,91773
841,16,55,11,1:31.526,91526
841,16,56,11,1:31.579,91579
841,16,57,11,1:32.473,92473
841,2,1,13,1:52.091,112091
841,2,2,13,1:36.505,96505
841,2,3,13,1:35.067,95067
841,2,4,13,1:35.662,95662
841,2,5,13,1:35.405,95405
841,2,6,13,1:35.662,95662
841,2,7,13,1:35.698,95698
841,2,8,13,1:35.363,95363
841,2,9,13,1:35.895,95895
841,2,10,13,1:35.038,95038
841,2,11,13,1:34.838,94838
841,2,12,13,1:35.039,95039
841,2,13,12,1:36.546,96546
841,2,14,11,1:35.592,95592
841,2,15,16,1:54.318,114318
841,2,16,17,1:39.684,99684
841,2,17,15,1:33.707,93707
841,2,18,15,1:33.539,93539
841,2,19,15,1:33.421,93421
841,2,20,15,1:33.822,93822
841,2,21,15,1:34.361,94361
841,2,22,15,1:33.889,93889
841,2,23,12,1:34.735,94735
841,2,24,12,1:33.587,93587
841,2,25,12,1:34.694,94694
841,2,26,12,1:33.545,93545
841,2,27,12,1:33.263,93263
841,2,28,12,1:32.848,92848
841,2,29,11,1:33.282,93282
841,2,30,14,1:54.826,114826
841,2,31,14,1:39.960,99960
841,2,32,14,1:32.876,92876
841,2,33,14,1:32.552,92552
841,2,34,14,1:33.071,93071
841,2,35,13,1:35.177,95177
841,2,36,13,1:32.892,92892
841,2,37,13,1:32.765,92765
841,2,38,13,1:32.993,92993
841,2,39,13,1:34.306,94306
841,2,40,13,1:34.974,94974
841,2,41,13,1:33.026,93026
841,2,42,13,1:32.807,92807
841,2,43,13,1:32.377,92377
841,2,44,13,1:32.619,92619
841,2,45,13,1:33.120,93120
841,2,46,13,1:32.898,92898
841,2,47,13,1:33.102,93102
841,2,48,13,1:35.082,95082
841,2,49,14,1:34.204,94204
841,2,50,14,1:35.702,95702
841,2,51,14,1:33.801,93801
841,2,52,14,1:35.493,95493
841,2,53,14,1:35.589,95589
841,2,54,14,1:35.243,95243
841,2,55,14,1:36.404,96404
841,2,56,14,1:33.858,93858
841,2,57,14,1:35.088,95088
841,815,1,14,1:52.663,112663
841,815,2,14,1:37.576,97576
841,815,3,14,1:36.216,96216
841,815,4,14,1:35.617,95617
841,815,5,14,1:35.999,95999
841,815,6,15,1:36.169,96169
841,815,7,15,1:35.294,95294
841,815,8,15,1:35.375,95375
841,815,9,16,1:38.168,98168
841,815,10,15,1:36.506,96506
841,815,11,15,1:34.646,94646
841,815,12,15,1:34.746,94746
841,815,13,14,1:34.905,94905
841,815,14,13,1:36.433,96433
841,815,15,11,1:34.867,94867
841,815,16,9,1:34.778,94778
841,815,17,8,1:34.790,94790
841,815,18,8,1:34.889,94889
841,815,19,7,1:34.623,94623
841,815,20,7,1:34.685,94685
841,815,21,7,1:35.145,95145
841,815,22,7,1:35.217,95217
841,815,23,13,1:55.111,115111
841,815,24,13,1:42.170,102170
841,815,25,13,1:32.147,92147
841,815,26,13,1:31.309,91309
841,815,27,13,1:31.307,91307
841,815,28,13,1:31.050,91050
841,815,29,12,1:30.671,90671
841,815,30,11,1:31.243,91243
841,815,31,11,1:31.517,91517
841,815,32,10,1:31.740,91740
841,815,33,10,1:31.306,91306
841,815,34,10,1:32.775,92775
841,815,35,10,1:31.896,91896
841,815,36,9,1:32.569,92569
841,815,37,8,1:30.649,90649
841,815,38,8,1:30.741,90741
841,815,39,8,1:29.962,89962
841,815,40,8,1:30.526,90526
841,815,41,8,1:30.545,90545
841,815,42,8,1:30.721,90721
841,815,43,8,1:30.513,90513
841,815,44,8,1:30.137,90137
841,815,45,8,1:30.319,90319
841,815,46,8,1:30.239,90239
841,815,47,8,1:30.633,90633
841,815,48,7,1:31.997,91997
841,815,49,7,1:30.614,90614
841,815,50,7,1:30.477,90477
841,815,51,7,1:31.543,91543
841,815,52,7,1:30.802,90802
841,815,53,7,1:30.806,90806
841,815,54,7,1:31.401,91401
841,815,55,7,1:31.536,91536
841,815,56,7,1:31.539,91539
841,815,57,7,1:31.709,91709
841,815,58,7,1:32.577,92577
841,5,1,15,1:52.883,112883
841,5,2,15,1:38.252,98252
841,5,3,16,1:37.378,97378
841,5,4,16,1:36.628,96628
841,5,5,17,1:37.441,97441
841,5,6,17,1:36.512,96512
841,5,7,17,1:36.107,96107
841,5,8,17,1:36.391,96391
841,5,9,17,1:36.352,96352
841,5,10,16,1:36.240,96240
841,5,11,16,1:35.907,95907
841,5,12,17,1:36.498,96498
841,5,13,16,1:36.286,96286
841,5,14,15,1:35.527,95527
841,5,15,14,1:35.921,95921
841,5,16,13,1:35.237,95237
841,5,17,18,2:00.199,120199
841,5,18,17,1:41.782,101782
841,5,19,17,1:34.918,94918
841,813,1,16,1:53.209,113209
841,813,2,16,1:38.453,98453
841,813,3,17,1:37.543,97543
841,813,4,17,1:36.568,96568
841,813,5,16,1:35.904,95904
841,813,6,16,1:34.595,94595
841,813,7,16,1:34.102,94102
841,813,8,16,1:35.041,95041
841,813,9,15,1:36.521,96521
841,15,1,17,1:54.113,114113
841,15,2,18,1:39.875,99875
841,15,3,18,1:38.455,98455
841,15,4,18,1:37.289,97289
841,15,5,18,1:37.235,97235
841,15,6,18,1:37.586,97586
841,15,7,18,1:37.180,97180
841,15,8,19,1:37.731,97731
841,15,9,19,1:37.258,97258
841,15,10,18,1:37.210,97210
841,15,11,18,1:36.703,96703
841,15,12,18,1:36.679,96679
841,15,13,18,1:37.012,97012
841,15,14,18,1:37.704,97704
841,15,15,18,1:37.240,97240
841,15,16,19,1:58.768,118768
841,15,17,19,1:44.596,104596
841,15,18,19,1:36.982,96982
841,15,19,18,1:35.819,95819
